"국가별",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"국가별",국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%)
"멕시코",1201.1,10242,3.6,370289,29590,117274,4.9,107.7,18073,39.8,1274.4,10725,1.4,379963,31366,118827,4.9,111.8,18242,43.5,1315.4,10929,2.8,397280,31617,120355,4.8,116.2,18930,44.4,1171.9,9617,3.3,381170,26214,121858,4.3,119.4,18218,57.4,1078.5,8745,2.6,373175,20753,123333,3.9,122.8,18824,59.5,1158.9,9288,2.1,408301,22325,124777,3.4,130.2,19955,63.9,1222.3,9687,2.2,449221,24145,126191,3.3,136.6,20204,65.8,1268.9,9946,-0.1,459597,-,127576,3.5,141.5,48465,70.1,1076.2,8347,-8.2,416235,-,128933,4.5,146.4,-,72.0
"미국",16197.0,51603,2.2,1545800,2276000,314044,8.1,105.3,88695,74.7,16784.8,53107,1.8,1578500,2268100,316401,7.4,106.8,86878,71.4,17527.2,55050,2.5,1621700,2356100,318673,6.2,108.6,88174,73.0,18238.3,56863,3.1,1503400,2248800,320878,5.3,108.7,78845,74.6,18745.1,58021,1.7,1451500,2186800,323016,4.9,110.1,78475,85.5,19543.0,60110,2.3,1547200,2339600,325085,4.4,112.4,81612,87.3,20611.9,63064,3.0,1665700,2537700,327096,3.9,115.2,86607,88.5,21433.2,65280,2.2,1643100,2497500,329065,3.7,117.2,87761,89.4,20936.6,63544,-3.5,-,-,331003,8.1,118.7,-,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"칠레",267.1,15352,5.3,78063,-,17400,6.7,106.4,1671,55.1,278.4,15843,4.0,76770,-,17572,6.2,108.4,1323,58.0,260.5,14671,1.8,75065,-,17759,6.7,113.5,1079,61.1,243.9,13574,2.3,62035,-,17969,6.5,118.4,1112,76.6,250.4,13754,1.7,60718,-,18209,6.7,122.9,1153,83.6,277.0,14999,1.2,68823,-,18470,7.0,125.6,1158,82.3,297.6,15888,3.7,75200,-,18729,7.2,128.6,1145,-,279.4,14742,0.9,69889,-,18952,7.3,131.9,945,-,252.9,13232,-5.8,71728,-,19116,11.2,135.9,-,-
"콜롬비아",370.9,8050,3.9,60125,59048,46076,9.7,106.7,1302,49.0,382.1,8218,5.1,58826,59381,46495,9.1,108.8,1236,51.7,381.1,8114,4.5,54857,64029,46968,8.6,112.0,1208,52.6,293.5,6176,3.0,36018,54058,47521,8.3,117.6,1211,55.9,282.8,5871,2.1,31768,44890,48175,8.7,126.4,1272,58.1,311.9,6377,1.4,38022,46071,48910,8.9,131.9,1253,62.3,334.2,6730,2.6,41905,51230,49661,9.1,136.2,1219,64.1,323.4,6425,3.3,39489,52703,50339,10.0,141.0,1333,65.0,271.3,5333,-6.8,31056,43489,50883,15.0,144.5,-,-
"코스타리카",47.2,10075,4.9,11267,18316,4688,9.8,109.6,-,47.5,50.9,10744,2.5,11480,18128,4742,8.8,115.3,-,46.0,52.0,10847,3.5,11250,17558,4795,9.1,120.5,-,53.0,56.4,11643,3.7,9422,16274,4848,9.0,121.5,-,59.8,58.8,12011,4.2,10500,16143,4899,8.6,121.5,-,65.9,60.5,12226,4.2,10913,16796,4950,8.1,123.5,-,71.6,62.3,12469,2.1,11521,18247,4999,9.6,126.2,-,73.5,64.0,12670,2.2,11864,17573,5048,11.5,128.8,-,81.2,61.5,12077,-4.5,12443,15237,5094,17.4,129.8,-,80.5
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트리아",409.4,48568,0.7,166757,178658,8502,4.9,105.9,7421,80.0,430.1,50717,0.0,175118,183243,8556,5.3,108.0,7953,80.6,442.0,51717,0.7,178238,182092,8615,5.6,109.7,7876,81.0,381.8,44178,1.0,152759,156078,8679,5.7,110.7,7687,83.9,395.6,45277,2.0,152054,157657,8747,6.0,111.7,7438,84.3,416.2,47309,2.4,168059,175789,8820,5.5,114.0,8135,87.9,454.9,51453,2.6,184778,193682,8891,4.9,116.3,6885,87.5,445.1,50122,1.4,178660,184747,8955,4.5,118.1,7424,87.8,429.0,48105,-6.6,168920,171944,9006,5.4,119.7,-,87.5
"벨기에",496.2,44673,0.7,446337,439536,11085,7.5,106.5,7301,80.7,521.6,46745,0.5,468624,451580,11154,8.4,107.7,7093,82.2,534.7,47701,1.6,472198,453706,11221,8.5,108.0,7331,85.0,462.1,40992,2.0,396773,375541,11288,8.5,108.6,7257,85.1,475.7,41984,1.3,398391,379428,11354,7.8,110.8,7687,86.5,501.5,44089,1.6,429640,409210,11420,7.1,113.1,7842,87.7,543.4,47555,1.8,468638,454968,11482,6.0,115.5,7980,88.6,533.3,46414,1.8,446901,427845,11539,5.4,117.1,7760,90.3,515.3,44594,-6.3,419910,396125,11590,5.6,118.0,-,91.5
"체코",208.9,19871,-0.8,157167,141515,10581,7.0,105.3,5072,73.4,211.7,20133,-0.0,162302,144320,10587,7.0,106.8,5171,74.1,209.4,19891,2.3,175017,154233,10591,6.1,107.1,5360,74.2,188.0,17830,5.4,157881,141367,10601,5.1,107.5,5262,75.7,196.3,18575,2.5,162716,143041,10619,4.0,108.2,5305,76.5,218.6,20636,5.2,182236,163374,10641,2.9,110.9,4550,78.7,249.0,23420,3.2,202751,185102,10666,2.2,113.3,4864,80.7,250.7,23490,2.3,199676,179569,10689,2.0,116.5,4437,80.9,243.5,22762,-5.6,192574,171073,10709,2.6,120.2,-,81.3
