"국가별",2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
"국가별",경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%)
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"콜롬비아(15+ LFS)",32640,22654,12944,9710,69.4,81.9,57.7,33178,22904,13052,9852,69.0,81.3,57.5,33700,23305,13271,10034,69.2,81.5,57.6,34327,23851,13550,10301,69.5,81.5,58.2,34912,24113,13700,10413,69.1,81.0,57.9,35425,24405,13866,10539,68.9,80.8,57.7,35978,24607,14040,10567,68.4,80.5,57.0,36469,24609,14090,10519,67.5,79.7,56.0,37050,23232,13636,9596,62.7,75.9,50.3
"코스타리카(15+ LFS)",3526,2268,1372,897,64.3,77.3,51.2,3590,2285,1375,910,63.7,76.2,51.0,3653,2345,1417,928,64.2,77.2,51.1,3716,2334,1413,921,62.8,75.7,49.8,3778,2255,1395,861,59.7,73.5,45.8,3836,2296,1424,872,59.9,73.9,45.7,3890,2420,1482,938,62.2,75.9,48.4,3944,2534,1503,1032,64.3,75.9,52.5,3996,2423,1458,965,60.6,72.7,48.4
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트리아(15+ LFS)",7066,4293,2284,2009,60.8,66.9,55.0,7118,4336,2304,2032,60.9,66.9,55.3,7180,4358,2310,2048,60.7,66.4,55.3,7246,4400,2336,2064,60.7,66.4,55.4,7336,4490,2388,2102,61.2,66.8,55.9,7364,4508,2396,2112,61.2,66.8,55.9,7397,4539,2417,2122,61.4,67.1,55.9,7430,4559,2425,2135,61.4,67.0,56.0,7471,4540,2410,2131,60.8,66.2,55.6
"벨기에(15+ LFS)",9189,4893,2670,2223,53.3,59.7,47.1,9237,4947,2682,2265,53.6,59.7,47.8,9283,4967,2677,2290,53.5,59.2,48.1,9329,4973,2677,2297,53.3,58.9,48.0,9369,4976,2682,2295,53.1,58.7,47.8,9272,4991,2687,2305,53.8,59.2,48.7,9330,5056,2701,2355,54.2,59.0,49.5,9387,5106,2723,2383,54.4,59.1,49.8,9447,5085,2712,2373,53.8,58.5,49.3
"체코(15+ LFS)",8965,5257,2957,2300,58.6,67.7,50.0,8951,5306,2969,2337,59.3,68.1,50.9,8933,5298,2968,2330,59.3,68.2,50.9,8936,5310,2963,2347,59.4,68.0,51.3,8929,5350,2977,2373,59.9,68.4,51.9,8929,5377,2986,2391,60.2,68.5,52.3,8942,5415,3000,2415,60.6,68.7,52.8,8963,5412,3002,2410,60.4,68.5,52.6,8985,5372,2995,2377,59.8,68.1,51.8
"덴마크(15+ LFS)",4603,2869,1510,1359,62.3,66.6,58.2,4634,2846,1492,1355,61.4,65.4,57.6,4672,2862,1511,1351,61.3,65.6,57.0,4714,2890,1536,1354,61.3,66.0,56.7,4762,2936,1550,1386,61.7,65.8,57.6,4798,2961,1564,1398,61.7,65.9,57.6,4830,2985,1580,1405,61.8,66.2,57.6,4857,3030,1606,1424,62.4,66.9,58.0,4874,3023,1599,1423,62.0,66.4,57.8
"에스토니아(15+ LFS)",1115,683,347,336,61.3,68.4,55.4,1109,680,346,334,61.3,68.4,55.4,1103,674,347,327,61.1,68.9,54.6,1088,676,345,332,62.1,69.2,56.1,1089,686,351,334,63.0,70.4,56.7,1086,690,353,337,63.6,70.8,57.4,1087,694,356,338,63.9,71.0,57.7,1091,694,354,339,63.6,70.3,57.8,1094,695,357,338,63.5,70.3,57.7
"핀란드(15+ LFS)",4502,2690,1392,1298,59.8,63.7,56.0,4525,2676,1383,1293,59.1,63.0,55.5,4546,2679,1383,1296,58.9,62.6,55.5,4562,2689,1386,1303,58.9,62.5,55.6,4581,2685,1392,1293,58.6,62.4,55.0,4597,2707,1407,1300,58.9,62.8,55.2,4612,2742,1422,1319,59.4,63.2,55.9,4627,2750,1429,1320,59.4,63.2,55.8,4643,2741,1429,1312,59.0,63.0,55.3
"프랑스(15+ LFS)",50438,28482,14916,13566,56.5,61.9,51.5,50721,28625,14934,13691,56.4,61.6,51.7,52401,29402,15269,14133,56.1,61.0,51.6,52665,29496,15302,14193,56.0,60.8,51.6,52942,29549,15297,14252,55.8,60.5,51.5,53178,29587,15330,14257,55.6,60.4,51.3,53395,29700,15347,14353,55.6,60.2,51.4,53600,29625,15263,14362,55.3,59.7,51.3,53811,29346,15103,14242,54.5,58.8,50.6
"독일(15+ LFS)",68841,41350,22254,19096,60.1,66.4,54.0,69115,41712,22373,19338,60.4,66.4,54.6,69463,41959,22489,19470,60.4,66.3,54.8,70070,42158,22576,19582,60.2,65.9,54.7,70551,43039,23091,19948,61.0,66.6,55.6,70715,43283,23245,20037,61.2,66.7,55.9,70790,43381,23276,20104,61.3,66.8,55.9,70694,43771,23441,20330,61.9,67.4,56.6,71131,43138,23048,20089,60.7,65.9,55.5
"그리스(15+ LFS)",9345,4890,2763,2127,52.3,61.3,44.0,9310,4843,2734,2109,52.0,60.9,43.8,9282,4811,2691,2120,51.8,60.1,44.1,9247,4808,2665,2142,52.0,59.8,44.7,9213,4804,2657,2148,52.2,59.8,45.0,9177,4780,2654,2126,52.1,60.0,44.7,9140,4743,2645,2098,51.9,60.0,44.3,9104,4730,2635,2095,52.0,60.1,44.4,9079,4630,2583,2047,51.0,59.1,43.5
"헝가리(15+ LFS)",8324,4300,2311,1989,51.7,59.3,45.0,8305,4334,2343,1991,52.2,60.2,45.1,8279,4444,2402,2042,53.7,61.9,46.5,8252,4518,2445,2073,54.8,63.1,47.4,8234,4586,2490,2096,55.7,64.3,48.0,8198,4613,2513,2100,56.3,65.2,48.4,8182,4642,2534,2107,56.7,65.8,48.7,8182,4672,2566,2106,57.1,66.4,48.8,8187,4658,2565,2093,56.9,66.3,48.5
"아이슬란드(15+ LFS)",224,179,93,85,79.9,82.6,77.1,227,183,96,87,80.7,83.7,77.6,227,187,98,89,82.1,85.6,78.7,230,191,100,91,83.0,86.3,79.7,234,196,104,92,83.8,87.8,79.8,241,199,107,93,82.9,86.7,78.9,249,204,110,94,81.8,85.5,77.9,256,208,112,96,81.2,84.9,77.4,261,206,111,95,79.0,82.7,75.0
"아일랜드(15+ LFS)",3608,2224,1218,1006,61.6,68.8,54.8,3625,2246,1226,1020,62.0,68.9,55.3,3654,2256,1234,1023,61.8,68.8,54.9,3693,2283,1250,1033,61.8,69.1,54.9,3742,2327,1267,1060,62.2,69.0,55.6,3795,2352,1277,1075,62.0,68.5,55.7,3852,2395,1296,1099,62.2,68.5,56.0,3919,2443,1321,1122,62.3,68.7,56.3,3977,2431,1316,1115,61.1,67.4,55.1
"이탈리아(15+ LFS)",51457,25256,14627,10629,49.1,59.2,39.7,51768,25259,14589,10670,48.8,58.7,39.7,52009,25514,14687,10828,49.1,58.7,40.1,52070,25497,14754,10744,49.0,58.9,39.8,52058,25769,14850,10919,49.5,59.3,40.5,52053,25929,14888,11041,49.8,59.4,40.9,52027,25969,14898,11072,49.9,59.4,41.1,51993,25941,14837,11104,49.9,59.2,41.3,51977,25214,14499,10715,48.5,57.8,39.8
"라트비아(15+ LFS)",1726,1031,511,520,59.7,66.4,54.3,1707,1014,504,510,59.4,66.1,54.0,1674,992,497,495,59.3,66.5,53.4,1655,994,499,495,60.1,67.4,54.1,1636,989,492,497,60.4,67.1,55.0,1611,980,489,492,60.8,67.8,55.2,1599,982,490,492,61.4,68.4,55.8,1586,971,485,486,61.2,68.0,55.7,1575,972,486,485,61.7,68.6,56.0
"리투아니아(15+ LFS)",2551,1473,728,744,57.7,63.2,53.2,2526,1465,732,734,58.0,64.1,53.0,2507,1477,737,740,58.9,65.1,53.9,2483,1469,728,741,59.2,64.9,54.4,2449,1478,729,748,60.3,66.0,55.7,2406,1458,721,737,60.6,66.4,55.8,2380,1465,729,735,61.6,67.6,56.5,2368,1470,732,738,62.1,67.8,57.3,2370,1484,749,735,62.6,68.8,57.3
"룩셈부르크(15+ LFS)",424,249,138,111,58.8,65.7,51.9,427,254,141,112,59.4,66.3,52.5,434,261,145,116,60.1,66.8,53.4,460,276,150,125,60.0,65.4,54.6,472,278,152,126,58.9,64.3,53.5,485,288,155,133,59.3,63.6,55.0,495,296,159,138,59.9,63.9,55.8,505,306,166,140,60.7,65.4,55.8,516,314,167,146,60.8,64.6,57.0
"네덜란드(15+ LFS)",13632,8861,4761,4100,65.0,70.9,59.3,13753,8932,4804,4128,65.0,70.8,59.2,13815,8895,4802,4093,64.4,70.5,58.5,13874,8932,4795,4137,64.4,70.1,58.8,13990,8965,4804,4161,64.1,69.7,58.7,14126,9042,4834,4209,64.0,69.4,58.8,14232,9147,4885,4262,64.3,69.6,59.1,14351,9296,4953,4343,64.8,69.9,59.8,14466,9338,4960,4377,64.6,69.3,59.9
"노르웨이(15+ LFS)",3737,2669,1413,1256,71.4,74.3,68.5,3790,2694,1422,1272,71.1,73.7,68.3,4196,2721,1437,1285,64.9,66.8,62.8,4247,2760,1461,1298,65.0,67.6,62.3,4290,2768,1466,1302,64.5,66.9,62.1,4329,2759,1459,1300,63.7,65.9,61.4,4355,2792,1480,1312,64.1,66.4,61.8,4393,2819,1495,1324,64.2,66.1,62.1,4429,2827,1500,1327,63.8,65.6,62.0
"폴란드(15+ LFS)",31038,17340,9551,7789,55.9,64.3,48.1,31036,17361,9568,7793,55.9,64.4,48.2,30984,17428,9593,7835,56.3,64.7,48.5,30962,17388,9568,7820,56.2,64.6,48.4,30703,17259,9514,7746,56.2,64.8,48.3,30594,17266,9529,7737,56.4,65.2,48.4,30429,17143,9440,7703,56.3,65.0,48.5,30283,17018,9398,7620,56.2,65.0,48.2,30271,16978,9400,7579,56.1,65.1,47.9
"포르투갈(15+ LFS)",8948,5381,2791,2590,60.1,66.3,54.7,8912,5283,2723,2560,59.3,65.1,54.1,8883,5224,2680,2544,58.8,64.5,53.8,8866,5194,2656,2538,58.6,64.1,53.8,8859,5177,2652,2526,58.5,64.1,53.5,8853,5218,2666,2553,58.9,64.5,54.1,8852,5232,2660,2572,59.1,64.4,54.5,8864,5252,2657,2594,59.3,64.4,54.8,8903,5164,2610,2554,58.0,63.1,53.6
"슬로바키아(15+ LFS)",4572,2707,1507,1200,59.2,68.4,50.7,4580,2715,1506,1210,59.3,68.1,51.0,4586,2722,1510,1212,59.4,68.2,51.1,4591,2738,1505,1234,59.6,67.9,52.0,4594,2759,1511,1248,60.1,68.1,52.6,4595,2755,1504,1251,60.0,67.7,52.7,4593,2746,1506,1240,59.8,67.8,52.3,4592,2741,1501,1240,59.7,67.6,52.3,4594,2713,1481,1231,59.0,66.7,51.9
"슬로베니아(15+ LFS)",1761,1013,546,468,57.5,63.0,52.2,1760,1008,546,462,57.2,63.1,51.6,1760,1015,548,467,57.7,63.3,52.2,1758,1008,545,463,57.3,62.9,51.9,1757,995,531,464,56.6,61.3,52.0,1757,1026,547,479,58.4,63.2,53.8,1757,1033,556,478,58.8,64.0,53.8,1771,1028,554,474,58.1,63.0,53.2,1782,1029,555,474,57.8,62.4,53.2
"스페인(15+ LFS)",39239,23443,12739,10704,59.7,66.3,53.4,39065,23190,12521,10669,59.4,65.6,53.4,38953,22954,12359,10595,58.9,65.0,53.1,38965,22922,12319,10602,58.8,64.8,53.1,39003,22822,12213,10609,58.5,64.3,53.0,39135,22742,12172,10570,58.1,63.9,52.6,39377,22807,12207,10600,57.9,63.7,52.4,39759,23027,12273,10754,57.9,63.4,52.7,40087,22733,12109,10624,56.7,62.1,51.6
"스웨덴(15+ LFS)",7114,5061,2661,2400,71.1,73.9,68.3,7156,5116,2688,2429,71.5,74.3,68.7,7205,5184,2726,2459,72.0,74.7,69.1,7257,5225,2737,2488,72.0,74.4,69.5,7322,5279,2765,2514,72.1,74.4,69.7,7402,5383,2826,2557,72.7,75.2,70.2,7460,5444,2853,2591,73.0,75.2,70.6,7508,5508,2887,2620,73.4,75.6,71.0,7535,5522,2917,2605,73.3,76.1,70.4
"스위스(15+ LFS)",6747,4555,2460,2095,67.5,74.5,60.8,6829,4611,2482,2129,67.5,74.2,61.1,6915,4695,2515,2180,67.9,74.1,61.9,6995,4767,2550,2217,68.1,74.2,62.3,7062,4842,2586,2256,68.6,74.5,62.8,7116,4870,2606,2264,68.4,74.5,62.6,7165,4906,2616,2290,68.5,74.2,62.9,7214,4922,2615,2307,68.2,73.7,63.0,7270,4934,2627,2307,67.9,73.4,62.5
"영국(15+ LFS)",51426,32129,17241,14887,62.5,68.9,56.4,51733,32389,17329,15060,62.6,68.8,56.8,52120,32665,17434,15232,62.7,68.6,57.0,52502,32941,17570,15371,62.7,68.6,57.2,52827,33244,17724,15520,62.9,68.6,57.5,53113,33411,17735,15676,62.9,68.3,57.8,53426,33699,17868,15831,63.1,68.3,58.0,53727,33962,17944,16019,63.2,68.2,58.5,-,-,-,-,-,-,-
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아(15+ LFS)",18382,11976,6497,5479,65.2,71.7,58.8,18701,12144,6576,5568,64.9,71.4,58.7,18989,12287,6629,5657,64.7,71.0,58.7,19270,12525,6734,5791,65.0,71.1,59.1,19575,12698,6787,5911,64.9,70.6,59.3,19914,12978,6911,6067,65.2,70.7,59.9,20246,13288,7053,6235,65.6,71.0,60.5,20584,13575,7186,6389,66.0,71.1,61.0,20836,13550,7159,6391,65.0,70.0,60.2
"뉴질랜드(15+ LFS)",3449,2331,1223,1108,67.6,73.5,62.1,3485,2361,1236,1125,67.8,73.4,62.5,3554,2441,1281,1160,68.7,74.3,63.4,3641,2504,1320,1184,68.8,74.4,63.4,3741,2617,1384,1234,70.0,75.5,64.6,3829,2715,1439,1276,70.9,76.5,65.5,3910,2772,1467,1305,70.9,76.2,65.7,3985,2811,1481,1330,70.6,75.4,65.8,4074,2862,1515,1346,70.2,75.4,65.2
